Label,Element,Average,STD,Aa,Bb,A,B,Ar,Br,R,C,b,Cr
70340,Ag 328.068,,,,,,,,,,,,
70340,Al 308.215,3466.85,252.9320956304279,3288.0,3645.7,3288.0,3645.7,,,,,3645.7,
70340,As 188.980,,,,,,,,,,,,
70340,As 193.696,16.185,7.672108575874041,10.76,21.61,10.76,21.61,,,,,21.61,
70340,B 249.772,9.12,0.8202438661763952,8.54,9.7,8.54,9.7,,,,,9.7,
70340,Ca 422.673,4172.925,247.84799787369693,3997.67,4348.18,3997.67,4348.18,,,,,4348.18,
70340,Ca 430.253,4423.645,276.04741630741654,4228.45,4618.84,4228.45,4618.84,,,,,4618.84,
70340,Ca 643.907,,,,,,,,,,,,
70340,Cd 214.439,0.30999999999999994,0.5374011537017761,-0.07,0.69,-0.07,0.69,,,,,0.69,
70340,Co 231.497,10.094999999999999,0.035355339059326626,10.07,10.12,10.07,10.12,,,,,10.12,
70340,Co 258.033,0.45499999999999996,0.3323401871576773,0.69,0.22,0.69,0.22,,,,,0.22,
70340,Cr 266.602,7.045,3.019345955666558,4.91,9.18,4.91,9.18,,,,,9.18,
70340,Cr 267.716,15.059999999999999,1.0040916292848974,14.35,15.77,14.35,15.77,,,,,15.77,
70340,Cr 357.868,15.55,6.434671708797584,20.1,11.0,20.1,11.0,,,,,11.0,
70340,Cu 324.754,15.190000000000001,2.503158005400379,13.42,16.96,13.42,16.96,,,,,16.96,
70340,Cu 327.395,17.384999999999998,1.6758430714121184,16.2,18.57,16.2,18.57,,,,,18.57,
70340,Fe 238.204,2768.52,139.97885840368897,2669.54,2867.5,2669.54,2867.5,,,,,2867.5,
70340,Hg 184.887,,,,,,,,,,,,
70340,Hg 194.164,3.095,0.14849242404917495,2.99,3.2,2.99,3.2,,,,,3.2,
70340,K 766.491,1339.38,51.10967814416364,1303.24,1375.52,1303.24,1375.52,,,,,1375.52,
70340,Mg 279.553,817.4,51.053109601668766,781.3,853.5,781.3,853.5,,,,,853.5,
70340,Mg 285.213,800.35,51.8309270609739,763.7,837.0,763.7,837.0,,,,,837.0,
70340,Mg 383.230,,,,,,,,,,,,
70340,Mn 257.610,27.295,1.8031222920256966,26.02,28.57,26.02,28.57,,,,,28.57,
70340,Mn 346.032,,,,,,,,,,,,
70340,Mo 202.032,-1.93,0.04242640687119289,-1.96,-1.9,-1.96,-1.9,,,,,-1.9,
70340,Mo 204.598,6.205,0.5727564927611039,5.8,6.61,5.8,6.61,,,,,6.61,
70340,Mo 313.259,2.6500000000000004,1.9516147160748714,1.27,4.03,1.27,4.03,,,,,4.03,
70340,Na 588.995,39869.665,2593.8303079519264,38035.55,41703.78,38035.55,41703.78,,,,,41703.78,
70340,Na 589.592,40829.715,2690.0958251426678,38927.53,42731.9,38927.53,42731.9,,,,,42731.9,
70340,Ni 225.385,14.68,6.8306515062620505,9.85,19.51,9.85,19.51,,,,,19.51,
70340,Ni 227.877,-24.405,4.999244942988891,-27.94,-20.87,-27.94,-20.87,,,,,-20.87,
70340,P 213.618,1834.0900000000001,151.7451152426332,1726.79,1941.39,1726.79,1941.39,,,,,1941.39,
70340,P 215.294,,,,,,,,,,,,
70340,P 255.491,,,,,,,,,,,,
70340,Pb 220.353,8.69,3.3799704140716975,11.08,6.3,11.08,6.3,,,,,6.3,
70340,Pb 266.315,,,,,,,,,,,,
70340,Pb 363.957,,,,,,,,,,,,
70340,Sb 206.834,21.765,2.764787514439401,19.81,23.72,19.81,23.72,,,,,23.72,
70340,Si 251.611,6073.535,608.8118675338054,5643.04,6504.03,5643.04,6504.03,,,,,6504.03,
70340,Sn 189.925,11.06,1.6404877323527904,9.9,12.22,9.9,12.22,,,,,12.22,
70340,Ti 336.122,159.5,10.210621920333745,152.28,166.72,152.28,166.72,,,,,166.72,
70340,V 319.068,-2.2750000000000004,5.310371926710972,1.48,-6.03,1.48,-6.03,,,,,-6.03,
70340,Zn 213.857,24.369999999999997,7.240773439350245,19.25,29.49,19.25,29.49,,,,,29.49,
70340,Zn 472.215,,,,,,,,,,,,
,,,,,,,,,,,,,
70343,Ag 328.068,,,,,,,,,,,,
70343,Al 308.215,644.02,32.526911934581186,621.02,667.02,621.02,667.02,,,,,667.02,
70343,As 188.980,,,,,,,,,,,,
70343,As 193.696,19.305,2.3405234457274737,17.65,20.96,17.65,20.96,,,,,20.96,
70343,B 249.772,0.11,0.1131370849898476,0.19,0.03,0.19,0.03,,,,,0.03,
70343,Ca 422.673,15780.55,171.78452142146023,15659.08,15902.02,15659.08,15902.02,,,,,15902.02,
70343,Ca 430.253,16867.28,229.7955617500039,16704.79,17029.77,16704.79,17029.77,,,,,17029.77,
70343,Ca 643.907,,,,,,,,,,,,
70343,Cd 214.439,0.20500000000000002,0.06363961030678927,0.16,0.25,0.16,0.25,,,,,0.25,
70343,Co 231.497,11.76,1.03237590053236,12.49,11.03,12.49,11.03,,,,,11.03,
70343,Co 258.033,3.16,0.6363961030678927,3.61,2.71,3.61,2.71,,,,,2.71,
70343,Cr 266.602,-1.13,2.206173157302028,0.43,-2.69,0.43,-2.69,,,,,-2.69,
70343,Cr 267.716,4.005,0.5303300858899106,3.63,4.38,3.63,4.38,,,,,4.38,
70343,Cr 357.868,3.995,2.1991020894901627,2.44,5.55,2.44,5.55,,,,,5.55,
70343,Cu 324.754,6.525,0.0212132034355966,6.54,6.51,6.54,6.51,,,,,6.51,
70343,Cu 327.395,5.985,0.06363961030678918,6.03,5.94,6.03,5.94,,,,,5.94,
70343,Fe 238.204,569.3499999999999,7.33976838871636,564.16,574.54,564.16,574.54,,,,,574.54,
70343,Hg 184.887,,,,,,,,,,,,
70343,Hg 194.164,2.975,0.14849242404917495,3.08,2.87,3.08,2.87,,,,,2.87,
70343,K 766.491,1098.705,49.9995204977008,1134.06,1063.35,1134.06,1063.35,,,,,1063.35,
