Label,Element,Average,STD,A,B,A M,B M
36634,Al 308.215,7766.46,217.3787666723685,7612.75,7920.17,,
36634,Ca 430.253,69210.905,2586.221838986363,67382.17,71039.64,,
36634,P 213.618,15747.89,592.4706298205839,15328.95,16166.83,,
36634,K 766.491,40937.61,2054.046204397555,39485.18,42390.04,,
36634,Na 589.592,35480.41,1825.1557393274663,34189.83,36770.99,,
36634,Fe 238.204,14369.91,642.4772213860961,13915.61,14824.21,,
,,,,,,,
36634,As 188.980,9.285,2.5526554800834362,11.09,7.48,,
36634,B 249.772,55.629999999999995,0.3394112549695406,55.39,55.87,,
36634,Cd 214.439,1.31,0.14142135623730948,1.41,1.21,,
36634,Co 258.033,-3.45,1.1030865786510144,-4.23,-2.67,,
36634,Cr 267.716,70.68,5.81241774135343,66.57,74.79,,
36634,Cu 327.395,59.995000000000005,1.0535891039679572,60.74,59.25,,
36634,Hg 194.164,2.05,2.4183051916579923,0.34,3.76,,
36634,Mg 279.553,5703.1,294.5524007710685,5494.82,5911.38,,
36634,Mn 257.610,464.09000000000003,22.61327486234576,448.1,480.08,,
36634,Mo 202.032,12.625,1.8031222920256966,11.35,13.9,,
36634,Ni 225.385,53.5,2.503158005400383,51.73,55.27,,
36634,Ni 227.877,52.905,7.488260812765541,47.61,58.2,,
36634,Pb 220.353,29.925,2.1142492757477784,31.42,28.43,,
36634,Sb 206.834,-2.695,0.7990306627407986,-2.13,-3.26,,
36634,Si 251.611,9016.34,606.7541868005526,8587.3,9445.38,,
36634,Sn 189.925,5.8,1.0465180361560906,5.06,6.54,,
36634,Ti 336.122,257.52,21.55261469056596,242.28,272.76,,
36634,V 319.068,67.265,3.867874093090414,64.53,70.0,,
36634,Zn 213.857,250.76000000000002,17.97465437776205,238.05,263.47,,
36634,Zn 472.215,271.32,46.725616100807066,238.28,304.36,,
,,,,,,,
,,,,,,,
90128,Al 308.215,10087.335,565.0588862823652,10083.14,10590.84,9299.31,10376.05
90128,Ca 430.253,87167.15,3606.6814802067934,86464.02,91925.09,83181.26,87098.23
90128,P 213.618,15627.052500000002,639.894569043735,15520.74,16480.13,14929.23,15578.11
90128,K 766.491,6720.3475,513.2140559503415,7078.06,7200.39,6100.41,6502.53
90128,Na 589.592,4213.0425,377.6350133285665,4551.15,4514.79,3798.91,3987.32
90128,Fe 238.204,19076.4325,834.9129228598224,18965.36,20188.01,18162.18,18990.18
,,,,,,,
90128,As 188.980,7.24,3.9116322253845217,12.25,8.2,5.27,3.24
90128,B 249.772,47.20249999999999,2.94714975300996,49.53,48.83,42.97,47.48
90128,Cd 214.439,1.59,0.12301761391497287,1.51,1.7,1.69,1.46
