Label,Element,Concentration
36616 A,Ag 328.068,0.28
36616 A,Al 308.215,336.11
36616 A,As 188.980,3.05
36616 A,As 193.696,8.20
36616 A,B 249.772,2.14
36616 A,Ca 422.673,106641.21
36616 A,Ca 430.253,113582.21
36616 A,Ca 643.907,109333.18
36616 A,Cd 214.439,0.15
36616 A,Co 231.406,0.08
36616 A,Co 258.033,1.11
36616 A,Cr 266.602,5.17
36616 A,Cr 267.716,4.46
,,
36616 B,Ag 328.068,-0.25
36616 B,Al 308.215,526.37
36616 B,As 188.980,4.79
36616 B,As 193.696,1.75
36616 B,B 249.772,1.90
36616 B,Ca 422.673,105705.20
36616 B,Ca 430.253,112888.72
36616 B,Ca 643.907,108200.71
36616 B,Cd 214.439,0.15
36616 B,Co 231.406,0.08
36616 B,Co 258.033,0.81
36616 B,Cr 266.602,6.22
36616 B,Cr 267.716,5.20
,,
36617 A,Ag 328.068,0.00
36617 A,Al 308.215,5.13
36617 A,As 188.980,0.00
36617 A,As 193.696,0.13
36617 A,B 249.772,0.11
36617 A,Ca 422.673,442.68
36617 A,Ca 430.253,457.88
36617 A,Ca 643.907,433.77
36617 A,Cd 214.439,0.00
36617 A,Co 231.406,0.01
36617 A,Co 258.033,0.02
36617 A,Cr 266.602,0.10
36617 A,Cr 267.716,0.09
,,
36617 B,Ag 328.068,0.00
36617 B,Al 308.215,20.95
36617 B,As 188.980,0.06
36617 B,As 193.696,0.04
36617 B,B 249.772,0.15
36617 B,Ca 422.673,627.72
36617 B,Ca 430.253,652.98
36617 B,Ca 643.907,618.47
36617 B,Cd 214.439,0.00
36617 B,Co 231.406,0.01
36617 B,Co 258.033,0.02
36617 B,Cr 266.602,0.13
36617 B,Cr 267.716,0.13
,,
36618 A,Ag 328.068,-0.02
36618 A,Al 308.215,262.67
36618 A,As 188.980,0.68
36618 A,As 193.696,0.63
36618 A,B 249.772,1.73
36618 A,Ca 422.673,2550.69
36618 A,Ca 430.253,2636.55
36618 A,Ca 643.907,2514.45
36618 A,Cd 214.439,0.14
36618 A,Co 231.406,0.76
36618 A,Co 258.033,0.89
36618 A,Cr 266.602,3.42
36618 A,Cr 267.716,3.36
,,
36618 B,Ag 328.068,-0.01
36618 B,Al 308.215,277.21
36618 B,As 188.980,0.64
36618 B,As 193.696,1.29
36618 B,B 249.772,1.57
36618 B,Ca 422.673,2356.32
36618 B,Ca 430.253,2443.13
36618 B,Ca 643.907,2320.45
36618 B,Cd 214.439,0.11
36618 B,Co 231.406,0.85
36618 B,Co 258.033,0.79
36618 B,Cr 266.602,3.61
36618 B,Cr 267.716,3.43
,,
36619 A,Ag 328.068,0.05
36619 A,Al 308.215,315.55
36619 A,As 188.980,1.53
36619 A,As 193.696,0.51
36619 A,B 249.772,2.43
36619 A,Ca 422.673,1746.06
36619 A,Ca 430.253,1791.67
36619 A,Ca 643.907,1706.63
36619 A,Cd 214.439,0.21
36619 A,Co 231.406,0.81
36619 A,Co 258.033,0.73
36619 A,Cr 266.602,3.44
36619 A,Cr 267.716,3.35
,,
36619 B,Ag 328.068,0.00
36619 B,Al 308.215,372.23
36619 B,As 188.980,1.41
36619 B,As 193.696,1.55
36619 B,B 249.772,2.42
36619 B,Ca 422.673,1993.01
36619 B,Ca 430.253,2046.29
36619 B,Ca 643.907,1971.04
36619 B,Cd 214.439,0.21
36619 B,Co 231.406,0.84
36619 B,Co 258.033,0.82
36619 B,Cr 266.602,3.58
36619 B,Cr 267.716,3.54
,,
36620 A,Ag 328.068,-0.01
36620 A,Al 308.215,4.82
36620 A,As 188.980,0.34
36620 A,As 193.696,0.05
36620 A,B 249.772,0.12
36620 A,Ca 422.673,483.82
36620 A,Ca 430.253,496.57
36620 A,Ca 643.907,474.15
36620 A,Cd 214.439,0.00
36620 A,Co 231.406,-0.04
36620 A,Co 258.033,0.04
36620 A,Cr 266.602,0.10
36620 A,Cr 267.716,0.10
,,
36620 B,Ag 328.068,0.00
36620 B,Al 308.215,5.44
36620 B,As 188.980,0.30
36620 B,As 193.696,-0.04
36620 B,B 249.772,0.12
36620 B,Ca 422.673,533.04
36620 B,Ca 430.253,546.24
36620 B,Ca 643.907,522.75
36620 B,Cd 214.439,0.01
36620 B,Co 231.406,0.01
36620 B,Co 258.033,-0.01
36620 B,Cr 266.602,0.09
36620 B,Cr 267.716,0.07
,,
36621 A,Ag 328.068,0.00
36621 A,Al 308.215,26.41
36621 A,As 188.980,0.28
36621 A,As 193.696,0.19
36621 A,B 249.772,0.43
36621 A,Ca 422.673,319.44
36621 A,Ca 430.253,329.35
36621 A,Ca 643.907,314.20
36621 A,Cd 214.439,0.01
36621 A,Co 231.406,0.06
36621 A,Co 258.033,0.10
36621 A,Cr 266.602,0.23
36621 A,Cr 267.716,0.25
,,
36621 B,Ag 328.068,0.01
36621 B,Al 308.215,52.79
36621 B,As 188.980,0.36
36621 B,As 193.696,0.18
36621 B,B 249.772,0.81
36621 B,Ca 422.673,478.81
36621 B,Ca 430.253,492.43
36621 B,Ca 643.907,473.05
36621 B,Cd 214.439,0.02
36621 B,Co 231.406,0.08
36621 B,Co 258.033,0.09
36621 B,Cr 266.602,0.43
36621 B,Cr 267.716,0.37
,,
36622 A,Ag 328.068,0.00
36622 A,Al 308.215,6.12
36622 A,As 188.980,0.15
36622 A,As 193.696,0.16
36622 A,B 249.772,0.17
36622 A,Ca 422.673,825.01
36622 A,Ca 430.253,851.37
36622 A,Ca 643.907,802.87
36622 A,Cd 214.439,0.00
36622 A,Co 231.406,0.00
36622 A,Co 258.033,0.04
36622 A,Cr 266.602,0.08
36622 A,Cr 267.716,0.07
,,
36622 B,Ag 328.068,0.00
36622 B,Al 308.215,6.96
36622 B,As 188.980,0.27
36622 B,As 193.696,0.14
36622 B,B 249.772,0.32
36622 B,Ca 422.673,605.93
36622 B,Ca 430.253,622.51
36622 B,Ca 643.907,596.30
36622 B,Cd 214.439,0.00
36622 B,Co 231.406,0.00
36622 B,Co 258.033,0.05
36622 B,Cr 266.602,0.12
36622 B,Cr 267.716,0.10
,,
36623 A,Ag 328.068,0.00
36623 A,Al 308.215,28.57
36623 A,As 188.980,0.26
36623 A,As 193.696,0.30
36623 A,B 249.772,0.50
36623 A,Ca 422.673,370.03
