Label,Type,Date Time,Element,Element Label,Flags,Unadjusted Data,Concentration,Unit,Intensity,Concentration SD,Concentration %RSD,Intensity SD,Intensity %RSD,Weight,Volume,Dilution,Internal Standard,Lims ID,Customer,Customer Ref.,Sample Date Time,Sample Site,Description,Replicates,Concentration Replicate 1,Concentration Replicate 2,Concentration Replicate 3,Intensity Replicate 1,Intensity Replicate 2,Intensity Replicate 3,Flags Replicate 1,Flags Replicate 2,Flags Replicate 3
36616 A,Sample,15/01/2021 18:16:20,Ag 328.068,Ag,,0.00,0.28,ppm,52.38,0.26,92.96,19.24,36.72,0.1679,5,4.494422,-,,,,,,,3,0.26,0.54,0.03,50.96,72.3,33.9,,,
36616 A,Sample,15/01/2021 18:16:20,Al 308.215,Al,,2.51,336.11,ppm,2861.24,3.83,1.14,32.22,1.13,0.1679,5,4.494422,-,,,,,,,3,331.72,337.85,338.75,2824.3,2875.93,2883.5,,,
36616 A,Sample,15/01/2021 18:16:20,As 188.980,As,,0.02,3.05,ppm,17.01,2.22,72.59,6.52,38.34,0.1679,5,4.494422,-,,,,,,,3,1.81,5.62,1.74,13.35,24.54,13.14,,,
36616 A,Sample,15/01/2021 18:16:20,As 193.696,As,,0.06,8.20,ppm,28.95,4.79,58.43,13.01,44.94,0.1679,5,4.494422,-,,,,,,,3,6.38,13.64,4.59,24.01,43.71,19.13,,,
36616 A,Sample,15/01/2021 18:16:20,B 249.772,B,,0.02,2.14,ppm,197.44,0.08,3.57,4.96,2.51,0.1679,5,4.494422,-,,,,,,,3,2.08,2.22,2.11,193.69,203.07,195.57,,,
36616 A,Sample,15/01/2021 18:16:20,Ca 422.673,Ca,o,796.77,106641.21,ppm,3669043.45,1746.30,1.64,60079.91,1.64,0.1679,5,4.494422,-,,,,,,,3,105244.31,106080.26,108599.05,3620984.5,3649744.55,3736401.31,o,o,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36616 B,Sample,15/01/2021 18:17:58,Ag 328.068,Ag,u,0.00,-0.25,ppm,13.08,0.09,37.17,6.92,52.90,0.1685,5,4.517832,-,,,,,,,3,-0.14,-0.29,-0.31,21.02,9.87,8.35,u,u,u
36616 B,Sample,15/01/2021 18:17:58,Al 308.215,Al,,3.93,526.37,ppm,4454.89,1.35,0.26,11.32,0.25,0.1685,5,4.517832,-,,,,,,,3,527.43,524.85,526.83,4463.78,4442.15,4458.75,,,
36616 B,Sample,15/01/2021 18:17:58,As 188.980,As,,0.04,4.79,ppm,22.08,2.35,49.10,6.9,31.25,0.1685,5,4.517832,-,,,,,,,3,7.48,3.16,3.72,29.99,17.31,18.93,,,
36616 B,Sample,15/01/2021 18:17:58,As 193.696,As,,0.01,1.75,ppm,11.42,0.35,20.22,0.96,8.38,0.1685,5,4.517832,-,,,,,,,3,1.83,1.36,2.05,11.64,10.37,12.24,,,
36616 B,Sample,15/01/2021 18:17:58,B 249.772,B,,0.01,1.90,ppm,181.6,0.19,9.92,12.24,6.74,0.1685,5,4.517832,-,,,,,,,3,2.11,1.77,1.80,195.69,173.65,175.47,,,
36616 B,Sample,15/01/2021 18:17:58,Ca 422.673,Ca,o,788.49,105705.20,ppm,3630925.22,371.64,0.35,12765.22,0.35,0.1685,5,4.517832,-,,,,,,,3,105924.95,105276.11,105914.55,3638473.14,3616186.66,3638115.88,o,o,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36617 A,Sample,15/01/2021 18:19:37,Ag 328.068,Ag,u,0.00,0.00,ppm,15.86,0.00,81.89,12.96,81.75,5.7143,5,3.549725,-,,,,,,,3,-0.01,0.00,-0.01,3.22,29.13,15.23,u,u,u
36617 A,Sample,15/01/2021 18:19:37,Al 308.215,Al,,1.65,5.13,ppm,1894.47,0.06,1.12,20.83,1.10,5.7143,5,3.549725,-,,,,,,,3,5.10,5.10,5.20,1881.12,1883.81,1918.47,,,
36617 A,Sample,15/01/2021 18:19:37,As 188.980,As,u,0.00,0.00,ppm,8.64,0.04,737.99,4.52,52.29,5.7143,5,3.549725,-,,,,,,,3,-0.03,0.04,0.00,4.7,13.57,7.65,u,,u
36617 A,Sample,15/01/2021 18:19:37,As 193.696,As,,0.04,0.13,ppm,21.89,0.07,56.68,8.62,39.37,5.7143,5,3.549725,-,,,,,,,3,0.17,0.05,0.18,26.34,11.95,27.36,,,
36617 A,Sample,15/01/2021 18:19:37,B 249.772,B,,0.04,0.11,ppm,364.72,0.01,9.90,30.35,8.32,5.7143,5,3.549725,-,,,,,,,3,0.11,0.10,0.12,358.01,338.29,397.86,,,
36617 A,Sample,15/01/2021 18:19:37,Ca 422.673,Ca,o,142.52,442.68,ppm,656417.29,1.05,0.24,1552.02,0.24,5.7143,5,3.549725,-,,,,,,,3,441.47,443.30,443.26,654625.56,657345.15,657281.18,o,o,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36617 B,Sample,15/01/2021 18:21:16,Ag 328.068,Ag,u,0.00,0.00,ppm,38.96,0.01,299.20,21.76,55.84,5.7714,5,4.407214,-,,,,,,,3,0.01,0.01,-0.01,45.19,56.92,14.77,,,u
36617 B,Sample,15/01/2021 18:21:16,Al 308.215,Al,,5.49,20.95,ppm,6211.37,0.24,1.14,70.32,1.13,5.7714,5,4.407214,-,,,,,,,3,20.85,21.22,20.77,6182.54,6291.52,6160.05,,,
36617 B,Sample,15/01/2021 18:21:16,As 188.980,As,,0.01,0.06,ppm,13.74,0.06,107.80,6.16,44.84,5.7714,5,4.407214,-,,,,,,,3,0.12,0.00,0.04,20.49,8.41,12.32,,,
36617 B,Sample,15/01/2021 18:21:16,As 193.696,As,,0.01,0.04,ppm,10.76,0.04,101.81,4.15,38.54,5.7714,5,4.407214,-,,,,,,,3,0.09,0.01,0.02,15.52,7.92,8.84,,,
36617 B,Sample,15/01/2021 18:21:16,B 249.772,B,,0.04,0.15,ppm,405.39,0.00,1.46,5.07,1.25,5.7714,5,4.407214,-,,,,,,,3,0.15,0.15,0.15,410.14,405.97,400.05,,,
36617 B,Sample,15/01/2021 18:21:16,Ca 422.673,Ca,o,164.40,627.72,ppm,757179.3,5.53,0.88,6673.25,0.88,5.7714,5,4.407214,-,,,,,,,3,624.15,634.10,624.92,752872.77,764866.34,753798.8,o,o,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36618 A,Sample,15/01/2021 18:26:38,Ag 328.068,Ag,u,0.00,-0.02,ppm,21.82,0.02,82.30,8.12,37.21,1.0178,5,4.6403,-,,,,,,,3,-0.03,0.00,-0.03,17.65,31.18,16.64,u,u,u
36618 A,Sample,15/01/2021 18:26:38,Al 308.215,Al,,11.52,262.67,ppm,13009.48,1.48,0.56,72.92,0.56,1.0178,5,4.6403,-,,,,,,,3,261.19,262.69,264.14,12936.11,13010.4,13081.93,,,
36618 A,Sample,15/01/2021 18:26:38,As 188.980,As,,0.03,0.68,ppm,19.74,0.20,29.68,3.48,17.62,1.0178,5,4.6403,-,,,,,,,3,0.83,0.45,0.75,22.39,15.8,21.03,,,
