Label,Element,Concentration
36616 A,As 188.980,3.05
36616 A,B 249.772,2.14
,,
36616 B,As 188.980,4.79
36616 B,B 249.772,1.90
,,
36617 A,As 188.980,0.00
36617 A,B 249.772,0.11
,,
36617 B,As 188.980,0.06
36617 B,B 249.772,0.15
,,
36618 A,As 188.980,0.68
36618 A,B 249.772,1.73
,,
36618 B,As 188.980,0.64
36618 B,B 249.772,1.57
,,
36619 A,As 188.980,1.53
36619 A,B 249.772,2.43
,,
36619 B,As 188.980,1.41
36619 B,B 249.772,2.42
,,
36620 A,As 188.980,0.34
36620 A,B 249.772,0.12
,,
36620 B,As 188.980,0.30
36620 B,B 249.772,0.12
,,
36621 A,As 188.980,0.28
36621 A,B 249.772,0.43
,,
36621 B,As 188.980,0.36
36621 B,B 249.772,0.81
,,
36622 A,As 188.980,0.15
36622 A,B 249.772,0.17
,,
36622 B,As 188.980,0.27
36622 B,B 249.772,0.32
,,
36623 A,As 188.980,0.26
36623 A,B 249.772,0.50
,,
36623 B,As 188.980,0.29
36623 B,B 249.772,0.47
,,
36624 A,As 188.980,0.14
36624 A,B 249.772,0.12
,,
36624 B,As 188.980,0.28
36624 B,B 249.772,0.12
,,
36465 A,As 188.980,16.99
36465 A,B 249.772,81.11
,,
36465 B,As 188.980,12.78
36465 B,B 249.772,73.43
,,
98688 A,As 188.980,20.10
98688 A,B 249.772,-0.25
,,
98688 B,As 188.980,7.03
98688 B,B 249.772,0.12
,,
98693 A,As 188.980,7.77
98693 A,B 249.772,16.46
,,
98693 B,As 188.980,8.69
98693 B,B 249.772,15.26
,,
36621 A r,As 188.980,0.39
36621 A r,B 249.772,0.49
,,
36621 B r,As 188.980,0.37
36621 B r,B 249.772,0.54
,,
36622 A R,As 188.980,0.18
36622 A R,B 249.772,0.09
,,
36622 B R,As 188.980,0.09
36622 B R,B 249.772,0.09
,,
36623 A R,As 188.980,0.11
36623 A R,B 249.772,0.43
,,
36623 B R,As 188.980,0.38
36623 B R,B 249.772,0.44
,,
36624 A R,As 188.980,0.28
36624 A R,B 249.772,0.11
,,
36624 B R,As 188.980,0.29
36624 B R,B 249.772,0.10
,,
98690 A (NH4OH),As 188.980,1.99
98690 A (NH4OH),B 249.772,-0.01
,,
98690 B (NH4OH),As 188.980,1.64
98690 B (NH4OH),B 249.772,-0.09
,,
98691 A (NH4OH),As 188.980,0.86
98691 A (NH4OH),B 249.772,-0.11
,,
98691 B (NH4OH),As 188.980,0.83
98691 B (NH4OH),B 249.772,-0.09
,,
98690 A,As 188.980,2.42
98690 A,B 249.772,0.00
,,
98690 B,As 188.980,1.81
98690 B,B 249.772,-0.07
,,
98691 A,As 188.980,1.14
98691 A,B 249.772,-0.10
,,
98691 B,As 188.980,0.48
98691 B,B 249.772,-0.07
,,
98690 A (20%),As 188.980,0.91
98690 A (20%),B 249.772,-0.05
,,
98690 B (20%),As 188.980,0.33
98690 B (20%),B 249.772,-0.05
,,
98691 A (20%),As 188.980,1.96
98691 A (20%),B 249.772,-0.04
,,
98691 B (20%),As 188.980,2.05
98691 B (20%),B 249.772,-0.04
,,
36631 A,As 188.980,0.20
36631 A,B 249.772,0.18
,,
36631 B,As 188.980,-0.03
36631 B,B 249.772,0.28
,,
36632 A,As 188.980,0.24
36632 A,B 249.772,0.19
,,
36632 B,As 188.980,0.12
36632 B,B 249.772,0.13
,,
36633 A,As 188.980,0.03
36633 A,B 249.772,0.06
,,
36633 B,As 188.980,-0.02
36633 B,B 249.772,0.10
,,
90124 A,As 188.980,18.05
90124 A,B 249.772,43.92
,,
90124 B,As 188.980,21.89
90124 B,B 249.772,48.81
,,
36629 A,As 188.980,0.55
36629 A,B 249.772,1.61
,,
36629 B,As 188.980,1.24
36629 B,B 249.772,1.43
,,
36630 A,As 188.980,2.04
36630 A,B 249.772,2.67
,,
36630 B,As 188.980,1.68
36630 B,B 249.772,2.89
,,
36631 AR,As 188.980,0.15
36631 AR,B 249.772,0.19
,,
36631 BR,As 188.980,0.03
36631 BR,B 249.772,0.12
,,
36632 AR,As 188.980,0.22
36632 AR,B 249.772,0.15
,,
36632 BR,As 188.980,0.06
36632 BR,B 249.772,0.15
,,
36633 AR,As 188.980,0.19
36633 AR,B 249.772,0.09
,,
36633 BR,As 188.980,0.23
36633 BR,B 249.772,0.08
,,
